product_id,product_name,source_url,current_screening_status,previous_review_reason_type,enriched_fields,still_missing_fields,evidence_confidence_summary,risk_flags_after_enrichment,final_margin_rate,supplier_score_reason,keyword_visibility_score,cs_burden_score,promotion_candidate,promotion_block_reason,next_action
"RAW_1/4_3/8_adapter_16_vl9sc","[자동번역] 1/4 3/8 adapter - 상품 16","https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_16_vl9sc","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","source_spec_text 부족","source_spec_text 부족:LOW, source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_1/4_3/8_adapter_17_es6be","[자동번역] 1/4 3/8 adapter - 상품 17","https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_17_es6be","REVIEW_ONLY","OPTION_MISSING","component_quantity 부족","source_option_name 부족","component_quantity 부족:HIGH, source_option_name 부족:LOW","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_3d_printer_nozzle_0.4mm_2_nheit","[자동번역] 3d printer nozzle 0.4mm - 상품 2","https://item.taobao.com/item.htm?id=RAW_3d_printer_nozzle_0.4mm_2_nheit","REVIEW_ONLY","OPTION_MISSING","component_quantity 부족 | source_option_name 부족","","component_quantity 부족:HIGH, source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_3d_printer_nozzle_0.4mm_4_y8qsf","[자동번역] 3d printer nozzle 0.4mm - 상품 4","https://item.taobao.com/item.htm?id=RAW_3d_printer_nozzle_0.4mm_4_y8qsf","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","","source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_3d_printer_nozzle_0.4mm_10_2y4fx","[자동번역] 3d printer nozzle 0.4mm - 상품 10","https://item.taobao.com/item.htm?id=RAW_3d_printer_nozzle_0.4mm_10_2y4fx","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","source_spec_text 부족","source_spec_text 부족:LOW, source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_cable_management_clip_6_1df4b","[자동번역] cable management clip - 상품 6","https://item.taobao.com/item.htm?id=RAW_cable_management_clip_6_1df4b","REVIEW_ONLY","DETAIL_PAGE_NEEDS_WORK","","",":HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_rubber_bumper_pad_1_3yvoy","[자동번역] rubber bumper pad - 상품 1","https://item.taobao.com/item.htm?id=RAW_rubber_bumper_pad_1_3yvoy","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","","source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_rubber_bumper_pad_4_tgcl4","[자동번역] rubber bumper pad - 상품 4","https://item.taobao.com/item.htm?id=RAW_rubber_bumper_pad_4_tgcl4","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","","source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_rubber_bumper_pad_5_6shyo","[자동번역] rubber bumper pad - 상품 5","https://item.taobao.com/item.htm?id=RAW_rubber_bumper_pad_5_6shyo","REVIEW_ONLY","OPTION_MISSING","component_quantity 부족 | source_option_name 부족","","component_quantity 부족:HIGH, source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_rubber_bumper_pad_13_lwm4r","[자동번역] rubber bumper pad - 상품 13","https://item.taobao.com/item.htm?id=RAW_rubber_bumper_pad_13_lwm4r","REVIEW_ONLY","OPTION_MISSING","source_spec_text 부족 | source_option_name 부족","","source_spec_text 부족:HIGH, source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_rubber_bumper_pad_14_wan67","[자동번역] rubber bumper pad - 상품 14","https://item.taobao.com/item.htm?id=RAW_rubber_bumper_pad_14_wan67","REVIEW_ONLY","OPTION_MISSING","source_spec_text 부족 | source_option_name 부족","","source_spec_text 부족:HIGH, source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_bicycle_valve_adapter_1_9l87b","[자동번역] bicycle valve adapter - 상품 1","https://item.taobao.com/item.htm?id=RAW_bicycle_valve_adapter_1_9l87b","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족 | supplier_score_reason 부족","","source_option_name 부족:MEDIUM, supplier_score_reason 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_bicycle_valve_adapter_3_gd7pw","[자동번역] bicycle valve adapter - 상품 3","https://item.taobao.com/item.htm?id=RAW_bicycle_valve_adapter_3_gd7pw","REVIEW_ONLY","DETAIL_PAGE_NEEDS_WORK","","",":MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_bicycle_valve_adapter_11_1vwtf","[자동번역] bicycle valve adapter - 상품 11","https://item.taobao.com/item.htm?id=RAW_bicycle_valve_adapter_11_1vwtf","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족 | supplier_score_reason 부족","","source_option_name 부족:HIGH, supplier_score_reason 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_clamp_jig_3_1s95c","[자동번역] clamp jig - 상품 3","https://item.taobao.com/item.htm?id=RAW_clamp_jig_3_1s95c","REVIEW_ONLY","SUPPLIER_EVIDENCE_WEAK","supplier_score_reason 부족","source_spec_text 부족","source_spec_text 부족:LOW, supplier_score_reason 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_clamp_jig_14_1xl49","[자동번역] clamp jig - 상품 14","https://item.taobao.com/item.htm?id=RAW_clamp_jig_14_1xl49","REVIEW_ONLY","OPTION_MISSING","component_quantity 부족 | source_option_name 부족","","component_quantity 부족:MEDIUM, source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
